 ***** SUBTRACTION FILE *********
 iwhich ebeam pdfscale photon-induced
           3   4000.0000000000000        91.153499999999994                0
 ********************************
           1          -5  -10762.090630423394       -10762.090630423394     
           1          -4  -47016.065597620793       -47016.065597620793     
           1          -3  -12140.987420396414       -12140.987420396414     
           1          -2  -48519.977272432996       -48519.977272432996     
           1          -1  -12132.711023455369       -12132.711023455369     
           1           0   0.0000000000000000        0.0000000000000000     
           1           1  -392829.66732630134       -392829.66732630134     
           1           2  -48477.351331344340       -48477.351331344340     
           1           3  -12114.591073941789       -12114.591073941789     
           1           4  -48573.156205671141       -48573.156205671141     
           1           5  -11753.804162368469       -11753.804162368469     
           2          -5  -10724.810337722127       -10724.810337722127     
           2          -4  -46854.338044777280       -46854.338044777280     
           2          -3  -12099.371463751537       -12099.371463751537     
           2          -2  -48353.600600651233       -48353.600600651233     
           2          -1  -12091.110678568017       -12091.110678568017     
           2           0   0.0000000000000000        0.0000000000000000     
           2           1  -391463.86947306804       -391463.86947306804     
           2           2  -48311.065141876461       -48311.065141876461     
           2           3  -12073.028692764346       -12073.028692764346     
           2           4  -48406.668668690603       -48406.668668690603     
           2           5  -11713.373004063906       -11713.373004063906     
           3          -5  -10687.658870455227       -10687.658870455227     
           3          -4  -46693.165901742876       -46693.165901742876     
           3          -3  -12057.898000660585       -12057.898000660585     
           3          -2  -48187.793723948067       -48187.793723948067     
           3          -1  -12049.652795929636       -12049.652795929636     
           3           0   0.0000000000000000        0.0000000000000000     
           3           1  -390102.81225952506       -390102.81225952506     
           3           2  -48145.348562752828       -48145.348562752828     
           3           3  -12031.608694711816       -12031.608694711816     
           3           4  -48240.751165357418       -48240.751165357418     
           3           5  -11673.080695705954       -11673.080695705954     
           4          -5  -10650.635679126892       -10650.635679126892     
           4          -4  -46532.546828952851       -46532.546828952851     
           4          -3  -12016.566433910280       -12016.566433910280     
           4          -2  -48022.554254263407       -48022.554254263407     
           4          -1  -12008.336778436205       -12008.336778436205     
           4           0   0.0000000000000000        0.0000000000000000     
           4           1  -388746.47518065572       -388746.47518065572     
           4           2  -47980.199206538964       -47980.199206538964     
           4           3  -11990.330483066209       -11990.330483066209     
